SG,Angle1,Angle2,Angle3
1,-45,0,45
2,-45,0,45
3,-45,0,45
4,-45,0,45
5,-45,0,45
6,-45,0,45
7,-45,0,45
8,-45,0,45
9,-45,0,45
10,-45,0,45
11,-45,0,45
12,-45,0,45
13,-45,0,45
14,-45,0,45
15,-45,0,45
16,-45,0,45
17,-45,0,45
18,-45,0,45
19,-45,0,45
20,-45,0,45
21,-45,0,45
22,-45,0,45
23,-45,0,45
24,-45,0,45
25,-45,0,45
26,-45,0,45
27,-45,0,45
28,-45,0,45
29,-45,0,45
30,-45,0,45
31,-45,0,45
32,-45,0,45
33,-45,0,45
34,-45,0,45
35,-45,0,45
36,-45,0,45
37,-45,0,45
38,-45,0,45
39,-45,0,45
40,-45,0,45
41,-45,0,45
42,-45,0,45
43,-45,0,45
44,-45,0,45
45,-45,0,45
46,-45,0,45
47,-45,0,45
48,-45,0,45
49,-45,0,45
50,-45,0,45
51,-45,0,45
52,-45,0,45
53,-45,0,45
54,-45,0,45
55,-45,0,45
56,-45,0,45
57,-45,0,45
58,-45,0,45
59,-45,0,45
60,-45,0,45
61,-45,0,45
62,-45,0,45
63,-45,0,45
64,-45,0,45
65,-45,0,45
66,-45,0,45
67,-45,0,45
68,-45,0,45
69,-45,0,45
70,-45,0,45
71,-45,0,45
72,-45,0,45
73,-45,0,45
74,-45,0,45
75,-45,0,45
76,-45,0,45
77,-45,0,45
78,-45,0,45
79,-45,0,45
80,-45,0,45
81,-45,0,45
82,-45,0,45
83,-45,0,45
84,-45,0,45
85,-45,0,45
86,-45,0,45
87,-45,0,45
88,-45,0,45
89,-45,0,45
90,-45,0,45
91,-45,0,45
92,-45,0,45
93,-45,0,45
94,-45,0,45
95,-45,0,45
96,-45,0,45
97,-45,0,45
98,-45,0,45
99,-45,0,45
100,-45,0,45
101,-45,0,45
